Bin Id	Bin size (Mbp)	TRE3326A10-45241226.sorted: mapped reads	TRE3326A10-45241226.sorted: % mapped reads	TRE3326A10-45241226.sorted: % binned populations	TRE3326A10-45241226.sorted: % community	TRE3326A11-45241228.sorted: mapped reads	TRE3326A11-45241228.sorted: % mapped reads	TRE3326A11-45241228.sorted: % binned populations	TRE3326A11-45241228.sorted: % community	TRE3326A12-45238228.sorted: mapped reads	TRE3326A12-45238228.sorted: % mapped reads	TRE3326A12-45238228.sorted: % binned populations	TRE3326A12-45238228.sorted: % community	TRE3326A13-45249221.sorted: mapped reads	TRE3326A13-45249221.sorted: % mapped reads	TRE3326A13-45249221.sorted: % binned populations	TRE3326A13-45249221.sorted: % community	TRE3326A14-45252219.sorted: mapped reads	TRE3326A14-45252219.sorted: % mapped reads	TRE3326A14-45252219.sorted: % binned populations	TRE3326A14-45252219.sorted: % community	TRE3326A15-45241232.sorted: mapped reads	TRE3326A15-45241232.sorted: % mapped reads	TRE3326A15-45241232.sorted: % binned populations	TRE3326A15-45241232.sorted: % community	TRE3326A16-45245241.sorted: mapped reads	TRE3326A16-45245241.sorted: % mapped reads	TRE3326A16-45245241.sorted: % binned populations	TRE3326A16-45245241.sorted: % community	TRE3326A17-45241234.sorted: mapped reads	TRE3326A17-45241234.sorted: % mapped reads	TRE3326A17-45241234.sorted: % binned populations	TRE3326A17-45241234.sorted: % community	TRE3326A18-45238232.sorted: mapped reads	TRE3326A18-45238232.sorted: % mapped reads	TRE3326A18-45238232.sorted: % binned populations	TRE3326A18-45238232.sorted: % community
bin_10_operams.fasta	2.671422	101309	0.8139048553426701	0.7546055929391469	0.7546055929391469	157465	1.1500052656386914	1.097229892207778	1.097229892207778	96783	0.5816260891178837	0.5434499212310411	0.5434499212310411	74645	0.5029820105008656	0.4726429452264741	0.4726429452264741	96298	0.712780659512707	0.6666263631800052	0.6666263631800052	37075	0.23275262260256166	0.21545843199544276	0.21545843199544276	10483	0.08343321097046044	0.06725706218812093	0.06725706218812093	10733	0.08135937854260664	0.07509109301072835	0.07509109301072835	10143	0.07042993856354034	0.05820654507231905	0.05820654507231905
bin_10_unicycler.fasta	2.418627	337674	2.712834083082261	2.7780701948161894	2.7780701948161894	394076	2.8780330553572724	3.0329634797305456	3.0329634797305456	478219	2.873899824471913	2.965929875773848	2.965929875773848	334602	2.2546558601059763	2.340100942392305	2.340100942392305	280371	2.0752562492288225	2.1437390025834437	2.1437390025834437	68320	0.428905169958382	0.43853452916908525	0.43853452916908525	324289	2.58098564842122	2.298042871165869	2.298042871165869	258122	1.9566426449431389	1.9946464089759197	1.9946464089759197	178092	1.2366172353995883	1.1288166562332627	1.1288166562332627
bin_11_operams.fasta	2.309575	44239	0.35541103846158173	0.3811428007182474	0.3811428007182474	35029	0.25582532277050596	0.2823265758424832	0.2823265758424832	18809	0.1130343666782211	0.12216212680047896	0.12216212680047896	47908	0.32281950779121793	0.3508737890078255	0.3508737890078255	25430	0.1882283346633174	0.20362073739108077	0.20362073739108077	20532	0.12889755488269175	0.13801427842130162	0.13801427842130162	2045	0.016275962647580997	0.015175955629933936	0.015175955629933936	1065	0.00807302134984404	0.008618413609028867	0.008618413609028867	965	0.006700669497566442	0.006405354022474906	0.006405354022474906
bin_12_metaspades.fasta	2.839229	30520	0.2451941701631473	0.21389399714484042	0.21389399714484042	14	0.00010224541148154623	9.17875345791731e-05	9.17875345791731e-05	5	3.0047946907922033e-05	2.6416332995975953e-05	2.6416332995975953e-05	29844	0.2010984676989461	0.17779992145705226	0.17779992145705226	7	5.1812754331231686e-05	4.5593752072630506e-05	4.5593752072630506e-05	17632	0.11069168554897822	0.0964108669903059	0.0964108669903059	42961	0.34192255809424316	0.2593395573563743	0.2593395573563743	3	2.2740905210828277e-05	1.9748341431128993e-05	1.9748341431128993e-05	15093	0.10480124842152364	0.08149351389353873	0.08149351389353873
bin_12_operams.fasta	2.520188	44315	0.35602161372148994	0.3498906230798278	0.3498906230798278	42529	0.31059965034990566	0.31412921078952744	0.31412921078952744	62349	0.3746918883524062	0.3711073034958819	0.3711073034958819	66006	0.44476965081546155	0.44302214089115943	0.44302214089115943	41620	0.308063833609409	0.30540549872608425	0.30540549872608425	10849	0.06810878496601999	0.06683156071610573	0.06683156071610573	13903	0.11065266928573037	0.09455192803830158	0.09455192803830158	14675	0.111240927989635	0.10883158778857847	0.10883158778857847	16756	0.11634861979401379	0.10192607650504236	0.10192607650504236
bin_13_metaspades.fasta	2.51195	38730	0.3111523660032338	0.3067969203467595	0.3067969203467595	35097	0.2563219433405592	0.26008487475753644	0.26008487475753644	17590	0.10570867722206971	0.10504074597117632	0.10504074597117632	36589	0.24654844640921922	0.24638513669894505	0.24638513669894505	25121	0.18594117165069587	0.18494119031379036	0.18494119031379036	745	0.004677025052971233	0.00460436893992777	0.00460436893992777	1196	0.00951885150440434	0.008160466658936948	0.008160466658936948	973	0.0073756335900453055	0.007239551208350424	0.007239551208350424	274	0.001902573515371197	0.00167219710365153	0.00167219710365153
bin_13_unicycler.fasta	3.638397	708349	5.690794405009673	3.8739292922910793	3.8739292922910793	839861	6.133709538021636	4.296881939311035	4.296881939311035	1338472	8.043667118748044	5.51825993670382	5.51825993670382	602490	4.059771337754256	2.8010103513541065	2.8010103513541065	731708	5.415972406599553	3.71907925973205	3.71907925973205	995939	6.2523914821894175	4.249594465759161	4.249594465759161	759861	6.04766222657875	3.5794712255939207	3.5794712255939207	344673	2.612725340577272	1.7705450196257262	1.7705450196257262	294981	2.0482592632763175	1.24288759457261	1.24288759457261
bin_14_operams.fasta	2.786451	341	0.002739554784588245	0.0024351036858708407	0.0024351036858708407	293	0.0021398503974352175	0.0019573671771674923	0.0019573671771674923	495	0.0029747467438842813	0.002664751633123048	0.002664751633123048	255	0.0017182719897879388	0.0015479742276927032	0.0015479742276927032	312	0.0023093684787634694	0.002070670037071112	0.002070670037071112	22493	0.14120848928386837	0.12532012123109149	0.12532012123109149	56180	0.44713133571691954	0.3455613246906251	0.3455613246906251	44453	0.3369671531123165	0.29816692049637955	0.29816692049637955	68153	0.4732339153032598	0.37495699666869564	0.37495699666869564
bin_15_metaspades.fasta	2.312729	825284	6.630236747343475	7.100569271321544	7.100569271321544	2048333	14.95947503115929	16.48663059384855	16.48663059384855	2525631	15.178005239400408	16.381290114949486	16.381290114949486	297059	2.0016790549584917	2.1726657806073097	2.1726657806073097	1356812	10.042880975666732	10.849323159162127	10.849323159162127	1296425	8.138808327917086	8.70256918418817	8.70256918418817	1024408	8.153166916324281	7.591769626402122	7.591769626402122	273419	2.0725985206131523	2.209600396316922	2.209600396316922	388950	2.7007517109621424	2.57820190099047	2.57820190099047
bin_15_operams.fasta	3.69828	214223	1.7210429460963275	1.1526057914958694	1.1526057914958694	185888	1.3575853606772619	0.9356375807509899	0.9356375807509899	284022	1.7068555953363664	1.1520070605637207	1.1520070605637207	235331	1.5857359436422958	1.076351962816002	1.076351962816002	181267	1.3417060770513392	0.9064141441136385	0.9064141441136385	405004	2.542568932286659	1.7001387149579046	1.7001387149579046	370975	2.952555131142475	1.719252483195272	1.719252483195272	131566	0.9973099783226111	0.664895933592073	0.664895933592073	179265	1.244762194281086	0.7430937545221975	0.7430937545221975
