medium	description	compound	name
BA[CO2]	Basic anaerobic medium (CO2)	nh4	Ammonium
BA[CO2]	Basic anaerobic medium (CO2)	cl	Cl-
BA[CO2]	Basic anaerobic medium (CO2)	na1	Na+
BA[CO2]	Basic anaerobic medium (CO2)	mg2	Mg
BA[CO2]	Basic anaerobic medium (CO2)	ca2	Ca2+
BA[CO2]	Basic anaerobic medium (CO2)	k	K+
BA[CO2]	Basic anaerobic medium (CO2)	h2o	H2O
BA[CO2]	Basic anaerobic medium (CO2)	pi	Phosphate
BA[CO2]	Basic anaerobic medium (CO2)	fe2	Fe2+
BA[CO2]	Basic anaerobic medium (CO2)	fe3	Fe3+
BA[CO2]	Basic anaerobic medium (CO2)	-	H3BO3
BA[CO2]	Basic anaerobic medium (CO2)	zn2	Zn2+
BA[CO2]	Basic anaerobic medium (CO2)	cu2	Cu2+
BA[CO2]	Basic anaerobic medium (CO2)	mn2	Mn2+
BA[CO2]	Basic anaerobic medium (CO2)	mobd	Molybdate
BA[CO2]	Basic anaerobic medium (CO2)	-	AlCl3
BA[CO2]	Basic anaerobic medium (CO2)	cobalt2	Co2+
BA[CO2]	Basic anaerobic medium (CO2)	ni2	Ni2+
BA[CO2]	Basic anaerobic medium (CO2)	-	EDTA
BA[CO2]	Basic anaerobic medium (CO2)	slnt	Selenite
BA[CO2]	Basic anaerobic medium (CO2)	btn	Biotin
BA[CO2]	Basic anaerobic medium (CO2)	fol	Folate
BA[CO2]	Basic anaerobic medium (CO2)	pydxn	Pyridoxine
BA[CO2]	Basic anaerobic medium (CO2)	pydx	Pyridoxal
BA[CO2]	Basic anaerobic medium (CO2)	rbflvrd	Reduced riboflavin
BA[CO2]	Basic anaerobic medium (CO2)	ribflv	Riboflavin C17H20N4O6
BA[CO2]	Basic anaerobic medium (CO2)	thm	Thiamin
BA[CO2]	Basic anaerobic medium (CO2)	cbl1	Cobalamin
BA[CO2]	Basic anaerobic medium (CO2)	nac	Nicotinate
BA[CO2]	Basic anaerobic medium (CO2)	4abz	4-aminobenzoate
BA[CO2]	Basic anaerobic medium (CO2)	lipoate	Lipoate
BA[CO2]	Basic anaerobic medium (CO2)	pnto__R	(R)-Pantothenate
BA[CO2]	Basic anaerobic medium (CO2)	s	Sulfur
BA[CO2]	Basic anaerobic medium (CO2)	h2s	Hydrogen sulfide
BA[CO2]	Basic anaerobic medium (CO2)	so2	Sulfur dioxide
BA[CO2]	Basic anaerobic medium (CO2)	so3	Sulfite
BA[CO2]	Basic anaerobic medium (CO2)	so4	Sulfate
BA[CO2]	Basic anaerobic medium (CO2)	h	H+
BA[CO2]	Basic anaerobic medium (CO2)	h2	Hydrogen
BA[CO2]	Basic anaerobic medium (CO2)	co2	CO2
BA[CO2]	Basic anaerobic medium (CO2)	hco3	Bicarbonate
BA[acetate]	Basic anaerobic medium (acetate)	nh4	Ammonium
BA[acetate]	Basic anaerobic medium (acetate)	cl	Cl-
BA[acetate]	Basic anaerobic medium (acetate)	na1	Na+
BA[acetate]	Basic anaerobic medium (acetate)	mg2	Mg
BA[acetate]	Basic anaerobic medium (acetate)	ca2	Ca2+
BA[acetate]	Basic anaerobic medium (acetate)	k	K+
BA[acetate]	Basic anaerobic medium (acetate)	h2o	H2O
BA[acetate]	Basic anaerobic medium (acetate)	pi	Phosphate
BA[acetate]	Basic anaerobic medium (acetate)	fe2	Fe2+
BA[acetate]	Basic anaerobic medium (acetate)	fe3	Fe3+
BA[acetate]	Basic anaerobic medium (acetate)	-	H3BO3
BA[acetate]	Basic anaerobic medium (acetate)	zn2	Zn2+
BA[acetate]	Basic anaerobic medium (acetate)	cu2	Cu2+
BA[acetate]	Basic anaerobic medium (acetate)	mn2	Mn2+
BA[acetate]	Basic anaerobic medium (acetate)	mobd	Molybdate
BA[acetate]	Basic anaerobic medium (acetate)	-	AlCl3
BA[acetate]	Basic anaerobic medium (acetate)	cobalt2	Co2+
BA[acetate]	Basic anaerobic medium (acetate)	ni2	Ni2+
BA[acetate]	Basic anaerobic medium (acetate)	-	EDTA
BA[acetate]	Basic anaerobic medium (acetate)	slnt	Selenite
BA[acetate]	Basic anaerobic medium (acetate)	btn	Biotin
BA[acetate]	Basic anaerobic medium (acetate)	fol	Folate
BA[acetate]	Basic anaerobic medium (acetate)	pydxn	Pyridoxine
BA[acetate]	Basic anaerobic medium (acetate)	pydx	Pyridoxal
BA[acetate]	Basic anaerobic medium (acetate)	rbflvrd	Reduced riboflavin
BA[acetate]	Basic anaerobic medium (acetate)	ribflv	Riboflavin C17H20N4O6
BA[acetate]	Basic anaerobic medium (acetate)	thm	Thiamin
BA[acetate]	Basic anaerobic medium (acetate)	cbl1	Cobalamin
BA[acetate]	Basic anaerobic medium (acetate)	nac	Nicotinate
BA[acetate]	Basic anaerobic medium (acetate)	4abz	4-aminobenzoate
BA[acetate]	Basic anaerobic medium (acetate)	lipoate	Lipoate
BA[acetate]	Basic anaerobic medium (acetate)	pnto__R	(R)-Pantothenate
BA[acetate]	Basic anaerobic medium (acetate)	s	Sulfur
BA[acetate]	Basic anaerobic medium (acetate)	h2s	Hydrogen sulfide
BA[acetate]	Basic anaerobic medium (acetate)	so2	Sulfur dioxide
