"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_15_operams.faa_1_1",2.47515740478677,0,0,0.803554976990386,0,1.14563268572492,0,0,1.14510618697271
"bin_15_operams.faa_1_10",8.82457606950417,8.02941240362581,8.26752223328819,8.59105364681377,7.86978533020235,7.03490125410615,7.37452783160011,8.22772174377188,7.58823944341987
"bin_15_operams.faa_1_100",5.57030659683045,5.43898083954811,5.44435349644546,5.20081198638976,5.66353313421699,5.58137169428109,4.43413733197993,5.55351166095986,5.82615967829023
"bin_15_operams.faa_1_101",4.57297437844495,4.17347965469045,5.57884178006778,4.34910439370546,3.36684558277092,3.82116659042794,4.43413733197993,0,4.43279972786169
"bin_15_operams.faa_1_102",2.21667947009447,0.546619994361546,2.13861881996361,0,0,0.489690671810898,0,0,0
"bin_15_operams.faa_1_103",5.72757161463875,4.95153526744483,5.29602715888058,4.83691775731125,3.74649074644645,4.80092895742162,5.14415809429862,5.36524828895756,4.96765751350735
"bin_15_operams.faa_1_104",9.24026901932237,9.08165481795036,8.98172271611992,8.91891409877855,8.19430826136327,8.3776442384546,8.36266341628968,8.93480331358477,8.80764242357219
"bin_15_operams.faa_1_105",5.54234457754845,5.82628942553721,5.74826648228124,6.37492883183691,4.85542791711036,5.52550613813309,5.14415809429862,4.39983093858277,5.76318473224258
"bin_15_operams.faa_1_106",3.57829518762209,4.61433523116333,5.02154528179783,4.18143051319945,3.74649074644645,4.30689549071265,3.70342837647729,5.14867751744977,3.24509531916092
"bin_15_operams.faa_1_107",4.12242475569233,2.70662229076621,5.60429788909317,1.99334351343565,0,2.69062740393244,3.88216324923714,0,1.77536588353498
"bin_15_operams.faa_1_108",4.57297437844495,2.60104406500884,5.44435349644546,3.69224274792519,3.74649074644645,2.21328320424549,0,3.94148549886791,3.71328239188254
"bin_15_operams.faa_1_109",6.55504463716935,6.18711243423876,6.53748051712685,6.45065070207826,5.83029210495293,5.53182132894364,3.49937669200058,5.14867751744977,6.29542808903052
"bin_15_operams.faa_1_11",8.7409348475863,8.05712489289765,7.85537021428014,8.46586283277544,8.13179139630386,7.49537409195425,8.17815192677985,8.17133070821715,7.98309512612128
"bin_15_operams.faa_1_110",4.45794131207429,5.24232686730155,5.09521459494906,4.94560152884046,5.00243876101271,5.07620189430866,5.61788128055735,4.58390775968206,5.69733490424816
"bin_15_operams.faa_1_111",5.54234457754845,4.92989577787209,5.5265410880364,4.23951420330331,4.85542791711036,4.64654027649881,5.07230312916431,5.14867751744977,5.69733490424816
"bin_15_operams.faa_1_112",6.03904995335771,5.82628942553721,6.07395632708639,6.4628934423016,4.04675903906004,4.98709013268214,5.40037691976952,5.79658070279558,6.15530797177784
"bin_15_operams.faa_1_113",7.03808487778719,7.89067996785602,7.43355908082966,7.44237986471973,7.75002733072411,7.50984217653494,7.16596583341174,7.81428756702894,7.02949459467456
"bin_15_operams.faa_1_114",4.67950877260006,7.06749482756252,7.37560454190671,7.08658001550532,5.97975736178637,5.26998209610024,4.64696426576246,5.72001944444932,5.31368014300658
"bin_15_operams.faa_1_115",4.04482688883314,6.18711243423876,5.83683673912021,6.71912234656815,5.83029210495293,4.36464060017607,4.54447178441676,4.89375415563077,4.91068364388858
"bin_15_operams.faa_1_116",5.95670128903705,8.64360804387196,8.46107559558853,8.39095618026516,8.48430975834267,5.5063929889749,4.9966808986978,5.26102291975498,5.07526949279926
"bin_15_operams.faa_1_117",4.62722471810149,7.70568404879942,7.27616141817832,7.20792359516421,7.64202634790562,4.75847768648275,4.9966808986978,5.36524828895756,5.22298699178277
"bin_15_operams.faa_1_118",6.36059209548266,9.38378006838827,8.76465220753644,9.56098517341912,9.22216570856082,6.4509929457288,6.60311693757048,6.06769406383273,6.17962690932624
"bin_15_operams.faa_1_119",6.7013039203622,7.40208047484407,6.8668547679221,7.1101230108624,7.31629157876508,6.96194735425918,6.88060362704059,6.99326145557364,5.91574986093969
"bin_15_operams.faa_1_12",5.29669041464088,4.79276459512447,5.35719948242319,5.14111591312966,3.36684558277092,4.61119240884678,4.43413733197993,4.89375415563077,4.58621575330661
"bin_15_operams.faa_1_120",5.59773695030262,5.94969987473927,5.60429788909317,5.25813578121869,4.69171903227062,5.46078556493913,5.27794802083579,5.02683912758684,4.16693529989076
"bin_15_operams.faa_1_121",4.91579759595638,4.95153526744483,4.36243945590499,5.01375976921501,5.13584482858104,4.59921467124855,0,5.02683912758684,5.07526949279926
"bin_15_operams.faa_1_122",3.05249366091802,4.09787080069656,4.903468496893,4.45095438367408,5.25795225170107,4.11834503414057,5.14415809429862,5.26102291975498,0
"bin_15_operams.faa_1_123",5.04097816992409,5.20677792532538,4.10149572210121,5.39220813997945,5.5723200185989,4.82169517687873,4.0411757091556,5.14867751744977,4.34950578433577
"bin_15_operams.faa_1_124",6.17273472110104,5.74187663482118,6.01822917095882,5.86778643265248,3.74649074644645,5.80119700839087,4.43413733197993,5.46244870888823,6.05371306891154
"bin_15_operams.faa_1_125",5.29669041464088,5.46929997384454,5.81519870812377,5.14111591312966,4.69171903227062,5.35078584325522,5.71545708323377,5.02683912758684,5.69733490424816
"bin_15_operams.faa_1_126",5.6510809348766,6.30106575995125,6.07395632708639,6.32214539362288,6.23897662246803,6.34739304245918,6.29123815086275,6.34764104697958,5.76318473224258
