"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_24_unicycler.faa_1_1",2.49935539067124,2.76062072552056,2.52910877008829,2.47879849643515,3.69759933996381,0,0,0,0
"bin_24_unicycler.faa_1_10",0.601361330736364,0,0,0.233809276219065,1.9120098711609,0,0,0,0
"bin_24_unicycler.faa_1_100",7.57716825843811,7.46448106226292,7.26106677220624,7.22729508634679,8.17185901304809,8.08404819293276,7.11794492082801,7.27229880395081,6.93626502092982
"bin_24_unicycler.faa_1_101",6.6406088953411,6.67988293835141,6.19726795165257,6.19246386609783,7.51869085473117,7.24029830472063,7.11794492082801,6.41741781217336,5.58556356925445
"bin_24_unicycler.faa_1_102",6.36997767275025,6.65735394383233,6.11025198223877,6.09185781571962,7.04218060108513,6.60179938451016,7.11794492082801,5.77495399619255,6.07920037697743
"bin_24_unicycler.faa_1_103",4.43868534843407,4.35733819358401,3.23737987962912,4.28342230304642,5.69100515291416,4.64568617170734,0,0,4.82925768532349
"bin_24_unicycler.faa_1_104",4.76564818233465,5.40766196427067,4.5502299139894,4.9251105370048,1.9120098711609,0,0,5.67006410427047,5.01554521469381
"bin_24_unicycler.faa_1_105",2.2607527899717,2.79104295403559,2.64370958284208,3.06855092477985,0.941940172898343,0,0,0,0
"bin_24_unicycler.faa_1_106",3.88660860970668,4.62557433354425,3.76199383305549,4.46677678492464,2.22787666526624,0,0,3.11760803143463,0
"bin_24_unicycler.faa_1_107",3.45919349229257,3.90774906154007,4.28186980588783,3.77266441126696,4.64090208007142,3.70219935905871,0,4.98722562511274,3.14350232849353
"bin_24_unicycler.faa_1_108",4.22923386995589,4.30559501891482,3.60110416115482,4.42011522600932,1.50701829035252,0,0,4.03200851322656,4.05947071965303
"bin_24_unicycler.faa_1_109",4.10466829340258,3.79218410096284,3.18787142593269,3.89713650474718,2.89680860171219,0,0,0,0
"bin_24_unicycler.faa_1_11",1.25039161750758,0.366077520890518,0,0,2.22787666526624,3.70219935905871,0,0,3.14350232849353
"bin_24_unicycler.faa_1_110",2.45468779799018,1.72715853680435,1.8891691173279,1.63748476389257,3.21567712718668,0,0,0,0
