"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_34_metaspades.faa_1_1",2.00154289687586,2.27889206870576,1.22461514602175,1.17985060735813,0,3.2096750244034,0,0,4.70885826539088
"bin_34_metaspades.faa_1_10",0.808236779452884,0.715608047323546,1.22461514602175,1.8201039178673,0,2.35775203964539,0,0,0
"bin_34_metaspades.faa_1_100",3.40274166186787,3.88818472946468,3.91051927676113,4.09001387412509,3.2804109861542,4.43486526032329,0,0,2.37629784502691
"bin_34_metaspades.faa_1_101",1.52490369906571,2.54010514429432,2.7402706567459,2.26201197836464,1.96548591016776,4.12951734090653,0,0,0
"bin_34_metaspades.faa_1_102",4.00192836341103,2.89175978068733,2.22544778569332,1.63655359858311,2.4217385518436,2.35775203964539,0,0,3.23021127020425
"bin_34_metaspades.faa_1_103",4.57939956630053,4.06464941498264,3.50604526854318,4.28991950597577,4.2041918440002,2.35775203964539,0,3.80675516510635,0
"bin_34_metaspades.faa_1_104",4.85685418319111,4.68502878477096,4.39602006369941,4.97144219803956,4.51038070755197,5.32891726792124,0,4.35693761633327,3.76299512581436
"bin_34_metaspades.faa_1_105",4.75017319827916,4.77237042233252,4.32562149104435,4.80725396836646,4.31363581433443,3.2096750244034,0,3.80675516510635,3.76299512581436
"bin_34_metaspades.faa_1_106",2.13086997235209,2.82795400905808,2.00291662444561,1.42619901821717,3.48143427960339,0,0,2.90633083021191,3.23021127020425
"bin_34_metaspades.faa_1_107",2.84726088830279,2.61762797645555,0.416010362729342,2.38361966111591,2.76784214699729,3.7416969308246,0,2.90633083021191,3.76299512581436
"bin_34_metaspades.faa_1_108",2.84726088830279,0.973253295738902,1.58755534681128,1.17985060735813,0,0,2.75815062241869,3.80675516510635,2.37629784502691
"bin_34_metaspades.faa_1_11",3.05709198186309,3.91913546383167,3.7040285732327,4.09001387412509,3.04677138364738,3.2096750244034,0,0,3.52105917354745
"bin_34_metaspades.faa_1_110",4.20651649195204,4.38594389599979,4.14662570855208,4.51953612441524,4.08575878604722,3.7416969308246,3.64738004108712,3.80675516510635,2.37629784502691
"bin_34_metaspades.faa_1_111",2.60163060262559,2.37131874368062,1.87729744638002,3.2383111401149,2.76784214699729,0,0,0,0
"bin_34_metaspades.faa_1_112",1.70186398920617,0.973253295738902,1.22461514602175,2.59982541878206,1.96548591016776,0,0,0,0
"bin_34_metaspades.faa_1_113",1.70186398920617,2.27889206870576,0.416010362729342,1.17985060735813,0,0,0,2.08696894188016,0
"bin_34_metaspades.faa_1_114",2.4611146970789,2.45817890819557,2.50570259142746,1.8201039178673,1.96548591016776,3.2096750244034,0,0,4.31209303793654
"bin_34_metaspades.faa_1_115",1.52490369906571,2.89175978068733,0.738521860944231,1.42619901821717,2.76784214699729,0,0,0,0
"bin_34_metaspades.faa_1_116",1.52490369906571,2.07412038076544,0.738521860944231,3.2383111401149,0,0,0,0,2.86553093274456
"bin_34_metaspades.faa_1_117",3.21128797638845,3.82421708670905,2.94198050444957,3.30140212108578,3.04677138364738,2.35775203964539,2.75815062241869,2.08696894188016,2.37629784502691
"bin_34_metaspades.faa_1_118",3.8220902719624,3.61330366577995,3.41856101235755,4.09001387412509,0,0,0,3.80675516510635,2.37629784502691
