"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_10_unicycler.faa_1_1",186,428,235,245,57,76,8,24,55
"bin_10_unicycler.faa_1_10",26,22,1,23,14,0,0,1,1
"bin_10_unicycler.faa_1_100",139,370,121,189,26,49,0,31,79
"bin_10_unicycler.faa_1_101",259,739,280,390,52,81,17,103,150
"bin_10_unicycler.faa_1_102",110,304,127,147,38,45,0,37,32
"bin_10_unicycler.faa_1_103",19,56,11,21,10,0,0,6,11
"bin_10_unicycler.faa_1_104",16,20,1,19,2,0,0,2,9
"bin_10_unicycler.faa_1_105",3,7,4,2,5,0,0,0,0
"bin_10_unicycler.faa_1_106",10,6,10,4,4,2,0,0,0
"bin_10_unicycler.faa_1_107",497,1326,630,639,516,393,35,157,317
"bin_10_unicycler.faa_1_108",225,563,241,258,141,98,4,54,92
"bin_10_unicycler.faa_1_109",777,2399,1151,1292,241,245,32,212,401
"bin_10_unicycler.faa_1_11",2,0,2,0,2,0,0,0,0
"bin_10_unicycler.faa_1_110",302,701,314,350,146,126,20,69,111
"bin_10_unicycler.faa_1_111",348,1073,332,433,86,96,4,151,187
"bin_10_unicycler.faa_1_112",57,154,79,78,16,33,2,43,32
"bin_10_unicycler.faa_1_113",84,302,95,110,17,18,12,52,64
"bin_10_unicycler.faa_1_114",152,396,203,206,64,55,0,57,64
"bin_10_unicycler.faa_1_115",13,79,38,48,24,10,0,10,10
"bin_10_unicycler.faa_1_116",302,807,362,310,31,90,10,91,161
"bin_10_unicycler.faa_1_117",191,687,180,337,100,56,6,77,104
"bin_10_unicycler.faa_1_118",378,1378,406,588,146,104,8,145,234
"bin_10_unicycler.faa_1_119",14011,45909,22681,23166,2642,6310,481,5501,9282
"bin_10_unicycler.faa_1_12",44,20,24,12,14,4,2,2,3
"bin_10_unicycler.faa_1_120",210,713,285,400,81,65,3,92,159
"bin_10_unicycler.faa_1_121",1276,4960,2062,2303,288,635,28,584,908
"bin_10_unicycler.faa_1_122",698,2162,1054,1213,133,226,17,197,462
"bin_10_unicycler.faa_1_123",264,779,305,356,247,166,4,87,118
"bin_10_unicycler.faa_1_124",413,1278,492,575,284,243,23,161,192
"bin_10_unicycler.faa_1_125",78,156,75,115,38,22,4,11,41
"bin_10_unicycler.faa_1_126",48,63,17,38,11,6,0,4,10
"bin_10_unicycler.faa_1_127",242,485,199,270,140,154,10,30,80
"bin_10_unicycler.faa_1_128",309,871,392,396,255,153,24,85,186
"bin_10_unicycler.faa_1_129",245,534,290,231,76,74,17,76,108
"bin_10_unicycler.faa_1_13",55,71,52,70,13,16,0,6,10
"bin_10_unicycler.faa_1_130",174,388,262,211,114,55,8,56,77
"bin_10_unicycler.faa_1_131",357,1308,677,739,314,245,15,159,193
"bin_10_unicycler.faa_1_132",227,617,228,251,187,91,6,103,101
"bin_10_unicycler.faa_1_133",101,378,130,185,65,37,0,49,101
"bin_10_unicycler.faa_1_134",348,960,444,544,169,160,12,112,202
"bin_10_unicycler.faa_1_135",191,453,216,240,77,67,4,59,97
"bin_10_unicycler.faa_1_136",64,158,60,94,34,46,0,44,45
"bin_10_unicycler.faa_1_137",102,277,108,119,40,24,10,33,52
"bin_10_unicycler.faa_1_138",125,506,205,267,69,80,2,85,77
"bin_10_unicycler.faa_1_139",189,524,189,229,32,77,4,46,53
"bin_10_unicycler.faa_1_14",916,1914,1035,1147,59,683,70,173,503
"bin_10_unicycler.faa_1_140",185,455,212,264,41,46,4,52,70
"bin_10_unicycler.faa_1_141",173,523,137,173,24,37,9,64,97
"bin_10_unicycler.faa_1_142",280,888,302,387,100,114,6,72,161
"bin_10_unicycler.faa_1_143",340,1392,641,569,148,136,26,108,229
"bin_10_unicycler.faa_1_144",19,89,30,39,24,2,0,0,15
"bin_10_unicycler.faa_1_145",16,35,8,31,35,4,0,6,4
"bin_10_unicycler.faa_1_146",5,13,9,24,12,2,0,6,0
"bin_10_unicycler.faa_1_147",122,333,93,103,210,51,4,70,58
"bin_10_unicycler.faa_1_148",316,932,205,483,368,130,8,173,147
"bin_10_unicycler.faa_1_149",410,1366,546,661,299,239,14,146,211
"bin_10_unicycler.faa_1_15",146,321,134,219,66,68,16,13,88
"bin_10_unicycler.faa_1_150",78,340,105,171,88,52,2,37,41
"bin_10_unicycler.faa_1_151",15,87,13,42,83,7,2,6,8
"bin_10_unicycler.faa_1_152",124,346,66,105,152,41,2,26,37
"bin_10_unicycler.faa_1_153",36,58,30,30,12,6,1,8,9
"bin_10_unicycler.faa_1_154",90,162,47,73,22,12,4,27,33
"bin_10_unicycler.faa_1_155",119,325,119,167,68,51,4,53,73
"bin_10_unicycler.faa_1_156",116,288,112,102,43,40,8,41,87
"bin_10_unicycler.faa_1_157",88,301,94,149,41,31,8,38,58
"bin_10_unicycler.faa_1_158",271,758,302,407,163,99,12,118,160
"bin_10_unicycler.faa_1_159",82,211,87,138,43,30,3,15,61
"bin_10_unicycler.faa_1_16",69,186,48,70,30,33,6,11,26
"bin_10_unicycler.faa_1_160",246,834,316,504,136,102,16,76,135
"bin_10_unicycler.faa_1_161",55,176,65,95,56,41,4,36,59
