"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_52_operams.faa_1_1",0,0,0,0,0,0,0,0,0
"bin_52_operams.faa_1_10",0,0,0,0,0,0,0,0,0
"bin_52_operams.faa_1_11",0,0,0,0,0,0,0,0,0
"bin_52_operams.faa_1_12",64,31,27,36,5,10,0,23,0
"bin_52_operams.faa_1_13",6,0,0,0,0,0,0,0,4
"bin_52_operams.faa_1_14",20,6,4,0,0,0,0,0,0
"bin_52_operams.faa_1_15",6,2,0,6,4,0,0,0,0
"bin_52_operams.faa_1_16",3,2,2,0,0,0,0,0,0
"bin_52_operams.faa_1_17",2,3,0,2,1,0,0,0,0
"bin_52_operams.faa_1_18",28,6,0,2,1,0,0,3,0
"bin_52_operams.faa_1_19",1,0,0,4,0,0,0,2,0
"bin_52_operams.faa_1_2",128,70,36,64,10,28,0,30,0
"bin_52_operams.faa_1_20",13,8,11,0,0,0,0,0,0
"bin_52_operams.faa_1_21",0,0,4,0,0,1,0,0,0
"bin_52_operams.faa_1_22",2,0,0,0,0,0,0,0,0
"bin_52_operams.faa_1_23",64,18,23,12,6,10,2,12,2
"bin_52_operams.faa_1_24",1,0,1,2,1,0,0,0,0
"bin_52_operams.faa_1_25",24,4,4,0,0,2,0,0,0
"bin_52_operams.faa_1_26",0,0,0,0,0,0,0,0,0
"bin_52_operams.faa_1_27",0,0,6,0,0,0,0,0,0
"bin_52_operams.faa_1_28",8,12,4,16,0,2,0,2,0
"bin_52_operams.faa_1_29",4,0,0,0,0,0,0,0,0
"bin_52_operams.faa_1_3",0,0,0,0,0,0,0,0,0
"bin_52_operams.faa_1_30",6,4,0,0,0,2,0,0,0
"bin_52_operams.faa_1_31",0,0,0,0,2,0,0,0,0
"bin_52_operams.faa_1_32",2,0,0,0,0,0,0,0,0
"bin_52_operams.faa_1_33",0,2,0,0,0,0,0,2,0
"bin_52_operams.faa_1_34",8,0,0,0,0,2,0,2,0
"bin_52_operams.faa_1_35",0,0,2,0,1,0,0,0,0
"bin_52_operams.faa_1_36",0,0,0,0,0,0,0,0,0
"bin_52_operams.faa_1_37",18,2,2,2,0,2,0,0,0
"bin_52_operams.faa_1_38",4,6,22,4,0,0,0,1,0
"bin_52_operams.faa_1_39",0,7,1,0,0,0,0,0,0
"bin_52_operams.faa_1_4",63,24,24,26,4,11,2,26,3
"bin_52_operams.faa_1_40",24,12,6,12,4,0,0,2,0
"bin_52_operams.faa_1_41",0,0,0,0,0,0,0,0,0
"bin_52_operams.faa_1_42",22,10,0,0,0,4,0,2,0
"bin_52_operams.faa_1_43",0,0,2,2,2,2,0,0,0
"bin_52_operams.faa_1_44",12,0,4,8,0,0,0,4,0
"bin_52_operams.faa_1_45",25,13,18,12,0,6,0,6,6
"bin_52_operams.faa_1_46",0,0,0,2,0,0,0,0,0
"bin_52_operams.faa_1_47",227,93,87,44,11,23,0,20,0
