"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_8_metaspades.faa_1_1",6,4,1,2,0,0,0,0,0
"bin_8_metaspades.faa_1_10",40,17,6,29,6,1,0,10,2
"bin_8_metaspades.faa_1_11",0,2,0,2,0,0,0,0,0
"bin_8_metaspades.faa_1_12",33,17,14,22,6,0,0,1,6
"bin_8_metaspades.faa_1_13",130,83,32,86,8,2,0,20,24
"bin_8_metaspades.faa_1_14",106,57,20,61,4,0,2,8,24
"bin_8_metaspades.faa_1_15",8,6,2,0,0,0,0,0,0
"bin_8_metaspades.faa_1_16",6,0,0,6,0,0,0,0,0
"bin_8_metaspades.faa_1_17",2,0,0,4,4,0,0,0,0
"bin_8_metaspades.faa_1_18",196,125,64,110,7,6,0,15,58
"bin_8_metaspades.faa_1_19",26,14,10,8,8,0,0,4,4
"bin_8_metaspades.faa_1_2",4,6,0,2,2,0,0,4,4
"bin_8_metaspades.faa_1_20",7,4,0,0,0,0,0,0,0
"bin_8_metaspades.faa_1_21",17,10,2,10,2,0,0,4,2
"bin_8_metaspades.faa_1_22",22,4,4,14,0,0,0,4,4
"bin_8_metaspades.faa_1_23",24,40,10,36,8,0,2,5,6
"bin_8_metaspades.faa_1_24",4,3,0,8,0,0,0,2,0
"bin_8_metaspades.faa_1_25",50,23,1,20,4,2,0,2,9
"bin_8_metaspades.faa_1_26",44,25,9,4,3,0,0,3,0
"bin_8_metaspades.faa_1_27",7,0,0,0,0,0,0,0,0
"bin_8_metaspades.faa_1_28",44,24,0,8,4,0,0,5,2
"bin_8_metaspades.faa_1_29",30,7,4,28,8,2,0,9,8
"bin_8_metaspades.faa_1_3",0,0,0,0,0,0,0,0,1
"bin_8_metaspades.faa_1_30",22,6,0,10,0,0,0,5,2
"bin_8_metaspades.faa_1_31",24,20,2,22,0,0,0,6,0
"bin_8_metaspades.faa_1_32",24,22,4,8,4,2,0,3,12
"bin_8_metaspades.faa_1_33",42,60,20,20,0,0,0,10,8
"bin_8_metaspades.faa_1_34",6,2,2,0,4,0,0,0,0
"bin_8_metaspades.faa_1_35",0,0,0,0,2,0,0,0,0
"bin_8_metaspades.faa_1_36",0,0,0,0,0,0,0,0,0
"bin_8_metaspades.faa_1_37",0,0,0,0,0,0,0,0,0
"bin_8_metaspades.faa_1_38",0,2,0,2,0,0,0,2,0
"bin_8_metaspades.faa_1_39",4,4,1,0,0,0,0,2,10
"bin_8_metaspades.faa_1_4",12,4,0,2,6,0,0,0,0
"bin_8_metaspades.faa_1_40",0,0,0,0,0,0,0,0,0
"bin_8_metaspades.faa_1_41",0,0,0,0,0,0,0,0,0
"bin_8_metaspades.faa_1_42",0,0,0,0,0,0,0,0,0
"bin_8_metaspades.faa_1_43",0,0,0,0,0,0,0,0,0
"bin_8_metaspades.faa_1_44",0,0,0,0,0,0,0,0,0
"bin_8_metaspades.faa_1_45",0,0,0,0,0,0,0,0,0
"bin_8_metaspades.faa_1_46",0,0,0,0,1,0,0,0,0
"bin_8_metaspades.faa_1_47",0,0,0,0,0,0,0,0,0
"bin_8_metaspades.faa_1_48",0,0,0,0,0,0,0,0,0
"bin_8_metaspades.faa_1_49",0,0,0,0,0,0,0,0,0
"bin_8_metaspades.faa_1_5",10,2,0,4,2,0,0,0,0
"bin_8_metaspades.faa_1_50",2,0,0,0,0,0,0,0,0
"bin_8_metaspades.faa_1_51",27,9,4,21,4,0,0,10,16
"bin_8_metaspades.faa_1_6",14,13,1,8,0,0,0,2,10
"bin_8_metaspades.faa_1_7",1,4,2,2,3,2,0,0,6
"bin_8_metaspades.faa_1_8",7,13,4,5,0,0,0,2,2
"bin_8_metaspades.faa_1_9",12,17,0,34,0,0,0,0,2
"bin_8_metaspades.faa_10_1",0,0,0,0,2,0,0,0,0
"bin_8_metaspades.faa_10_10",8,5,0,6,3,0,0,1,0
"bin_8_metaspades.faa_10_11",22,12,2,10,0,0,0,2,0
"bin_8_metaspades.faa_10_12",225,104,22,78,2,6,0,35,28
"bin_8_metaspades.faa_10_13",20,27,8,22,2,4,0,1,2
"bin_8_metaspades.faa_10_14",39,29,7,26,1,2,0,13,20
"bin_8_metaspades.faa_10_15",0,0,0,0,1,0,0,0,0
"bin_8_metaspades.faa_10_16",12,6,2,12,0,0,0,0,0
"bin_8_metaspades.faa_10_17",14,15,0,14,0,4,0,2,0
"bin_8_metaspades.faa_10_18",42,49,4,18,7,2,0,6,4
"bin_8_metaspades.faa_10_19",11,16,0,5,0,0,0,6,10
"bin_8_metaspades.faa_10_2",2,0,0,0,0,0,0,0,0
"bin_8_metaspades.faa_10_20",16,8,4,10,0,0,0,0,0
"bin_8_metaspades.faa_10_21",13,15,4,6,0,0,0,2,0
"bin_8_metaspades.faa_10_22",68,57,8,22,4,0,0,3,14
"bin_8_metaspades.faa_10_23",14,14,2,8,0,0,0,0,4
"bin_8_metaspades.faa_10_24",85,26,5,48,5,1,0,14,3
"bin_8_metaspades.faa_10_25",23,10,6,2,2,0,0,5,10
"bin_8_metaspades.faa_10_26",28,10,10,6,4,0,0,4,4
"bin_8_metaspades.faa_10_27",16,10,11,4,0,2,0,0,0
"bin_8_metaspades.faa_10_28",8,0,0,0,2,0,0,0,2
"bin_8_metaspades.faa_10_29",6,6,2,8,1,0,0,2,2
"bin_8_metaspades.faa_10_3",0,0,0,2,0,0,0,0,0
"bin_8_metaspades.faa_10_30",4,6,0,8,0,2,0,0,8
"bin_8_metaspades.faa_10_31",4,4,0,2,0,0,0,1,0
"bin_8_metaspades.faa_10_32",6,4,2,4,0,0,0,7,0
"bin_8_metaspades.faa_10_4",0,0,0,0,0,0,0,0,0
"bin_8_metaspades.faa_10_5",0,0,0,0,0,0,0,0,0
"bin_8_metaspades.faa_10_6",146,77,26,68,2,0,0,16,14
"bin_8_metaspades.faa_10_7",56,24,19,32,0,6,0,12,20
"bin_8_metaspades.faa_10_8",69,30,5,18,2,0,0,10,8
"bin_8_metaspades.faa_10_9",66,20,11,15,1,0,0,2,6
"bin_8_metaspades.faa_100_1",0,4,6,0,0,0,0,0,0
"bin_8_metaspades.faa_100_2",10,6,0,0,2,0,0,3,0
"bin_8_metaspades.faa_100_3",98,37,10,30,12,0,0,11,20
"bin_8_metaspades.faa_100_4",293,115,46,100,66,22,6,23,40
"bin_8_metaspades.faa_100_5",75,18,4,15,14,4,0,2,2
"bin_8_metaspades.faa_100_6",156,79,12,64,5,2,0,2,4
"bin_8_metaspades.faa_100_7",84,40,4,18,6,0,0,3,0
"bin_8_metaspades.faa_100_8",30,15,5,15,0,0,0,0,0
