,TRE3326A10-45241226,TRE3326A11-45241228,TRE3326A12-45238228,TRE3326A13-45249221,TRE3326A14-45252219,TRE3326A15-45241232,TRE3326A16-45245241,TRE3326A17-45241234,TRE3326A18-45238232
EX_12ppd__R_e_m,54.632688483931844,37.34888675765917,49.852178769949475,35.903924823773416,30.764264257418024,2.9219042746754496e-09,9.380712099168882,13.39690818526542,2.2367162009439658e-05
EX_12ppd__S_e_m,0.08412168235889979,0.837636565856084,1.864182613260116,0.060856263416131165,0.7030883877109413,0.39620821136353135,0.06882705819452964,0.020009170506563433,0.08072468424096041
EX_glc__D_e_m,-0.03425798032076699,-0.03438001870872753,-0.03437840261613623,-0.03048850548245241,-0.03437999469865005,-0.034379998075499074,-0.03436708587977799,-0.03405004757374596,-0.034376593057807714
EX_h2o_e_m,-3.43769110887491,-3.4379999564545063,-3.4379936252674383,-1.5661517523624715,-2.078480298248863,16.769395078898278,18.39891365470855,10.639936185505608,25.543686784962954
EX_26dap__M_e_m,-0.03438000964001462,-0.03438000950422005,-0.034379964408372606,-0.03437825646497949,-0.03437999980531473,-0.034380003799942965,-0.03437995075793383,-0.03437848275990426,-0.03437957133822216
EX_h_e_m,208.39730524554983,192.62555578849845,199.43517739825558,217.09192935481838,215.32980260984849,116.26905962892847,149.51821774219476,186.883199872498,150.3742960258493
EX_2obut_e_m,0.00023756201672721008,0.06008644782672446,0.0349974217207763,0.012217730196801967,0.0004656305372609914,0.0006437720901253881,0.0004952183992796268,0.027826835020362758,0.024400316393246822
EX_2pglyc_e_m,-0.034371254273855595,-0.034380000231707473,-0.03435698785635638,-0.03428459628628586,-0.03437999871280586,-0.034380000749871804,-0.0343763677188811,-0.034377354287042736,-0.03437917563054691
EX_34dhbz_e_m,0.6740575461635279,0.7722460036653417,0.3185222009136772,0.051478627714276394,0.03819125706055468,,0.08646165445799575,0.16125465186587465,2.004766173640428
EX_leu__L_e_m,-0.06875979110263807,-0.06875973208919285,-0.0687599285384827,-0.06875911170136219,-0.06875999998886702,-0.06876001282744194,-0.06875997088787811,-0.06876078341810099,-0.0687588361126102
