,TRE3326A10-45241226,TRE3326A11-45241228,TRE3326A12-45238228,TRE3326A13-45249221,TRE3326A14-45252219,TRE3326A15-45241232,TRE3326A16-45245241,TRE3326A17-45241234,TRE3326A18-45238232
EX_12ppd__R_e_m,37.67297103807531,1.7233867239758796,3.800126745020237e-12,-8.303670612729359e-13,6.531714367229298e-13,4.0776033510497066e-12,18.692383650920927,1.0169694032016913e-10,6.8626232985028435e-12
EX_12ppd__S_e_m,5.473681062813855,0.017377835428277904,3.281018853836367e-11,3.0257708549800744e-12,5.989860315698321e-13,-0.0029646280819504915,11.6189573805642,-0.00047899667533457925,-0.034379999932236234
EX_glc__D_e_m,0.00905478240390245,-0.03437999998486936,-0.034379999998933895,-0.03437999998010136,-0.03437999999593227,-0.03437999999680905,0.02185907667228637,-0.034379998146357026,-0.034380000031863533
EX_h2o_e_m,-3.030487765761068,1.0833754152832278,2.743684432101986,7.620755128052877,7.638318075543196,3.4123759114616012,14.1207060731572,2.663305254571251,10.737891527060148
EX_26dap__M_e_m,-0.028310513891700525,-0.013679614699611252,-0.02806044163699688,-0.03437999998961894,-0.03437999999701688,-0.0343799999706668,-0.032465022703061605,-0.008423835516229406,-0.025093574911735122
EX_h_e_m,47.41930887689611,-3.437999999993426,-1.319259532560637,22.11970309038363,21.976790873324116,13.560305065248581,67.94492186445254,6.137498481952699,22.24559802754331
EX_2obut_e_m,0.07763533913012714,0.0348027660171022,0.00036343669491648565,2.6577030800424866e-12,0.00010079659959523372,0.034434755171191406,0.08280518493120086,6.047412739131212e-11,4.921953541919038e-11
EX_2pglyc_e_m,-0.032206653363219824,-0.010547355342413375,-0.03438000001551489,-0.0343799999976512,-0.03437999999905981,-0.03437999989666689,-0.03411645526019644,-0.0009977046477285766,-0.026753574574334107
EX_34dhbz_e_m,0.05763546859708748,7.895831680467333e-13,4.2520870179845425e-12,1.3297135520793588e-12,2.137415473427743e-13,,0.04737818576247625,3.034233161728571e-11,1.450641522446832e-10
EX_leu__L_e_m,-0.03782582538500126,-0.0687600000021062,-0.06876000002850093,-0.068759999999214,-0.06875999999974043,-0.06876000000841359,-0.06711793342083504,-0.06876000002227373,-0.06876000003678995
EX_3mb_e_m,-0.0282552065838468,-0.03438000000208841,-0.0343800000195024,-0.034379999998566224,-0.034379999993622345,-0.034380000008180346,-0.025336524853746455,-0.034380000018065196,-0.03438000001789095
