,TRE3326A10-45241226,TRE3326A11-45241228,TRE3326A12-45238228,TRE3326A13-45249221,TRE3326A14-45252219,TRE3326A15-45241232,TRE3326A16-45245241,TRE3326A17-45241234,TRE3326A18-45238232
EX_12ppd__R_e_m,-0.03437999975967825,-0.03437905540111986,-0.0343790117420867,-2.9262577490589154e-08,-7.984607352319982e-06,1.334003543244231e-09,-2.6904912737173507e-07,-0.014856868893914316,7.956312234154134e-10
EX_12ppd__S_e_m,-0.034379998018439266,-0.03437937321891393,-0.03437917436121842,2.069241514290083e-09,-3.966673127322159e-06,-0.01676100797511388,4.1446057063450146e-06,-0.033205000049250685,-0.008675609855559447
EX_glc__D_e_m,0.12623012061007832,0.06980382780778865,0.003900020198394527,0.7552626091758345,0.7437764181013532,0.5393731101284931,0.16648330375545234,0.7219974374259949,0.6784171984119086
EX_h2o_e_m,-3.3481975950053933,-3.3302453758972455,-3.387986355518766,-3.2248466739953923,-3.112298312328182,-3.0618222929788463,-3.3099645546498064,-3.108799067521362,-3.060884656465813
EX_26dap__M_e_m,-0.00041796469984224335,-0.0004710741089032243,-2.3227823131316955e-06,-0.0006945106208207821,-0.0003724820245802609,-4.033953073573682e-05,-9.79083016686985e-07,-0.000591268831371792,-0.0005059522859484094
EX_h_e_m,7.250283438401119,6.973396223929939,7.318872909943018,7.895923556693579,7.450134819262906,5.679316552680897,7.072447528860733,5.938708985994017,6.822711765455949
EX_2obut_e_m,9.120409616100212e-07,9.339840554304733e-05,0.00015260802158583846,0.029169321341189002,1.0646331034013806e-05,0.00011715403980284479,2.7038978962614304e-06,1.5225327633409802e-05,5.288670963132135e-07
EX_2pglyc_e_m,-0.03438000053263046,-0.03437618507371821,-0.03437840318360135,-0.03437999900602645,-0.0336954152545282,-0.0343800119907206,-0.03437843309655774,-0.03437586115785016,-0.034379993113724354
EX_34dhbz_e_m,0.06295936027268711,0.06447983009248945,0.07376499635523721,0.17796260234284084,0.09081680359251713,,0.06821431396015327,0.06831990816070567,0.033696331169835565
EX_leu__L_e_m,-0.04188585621563318,-0.04329330803964137,-0.04441170367133673,-0.04327597932115986,-0.04215317617297143,-0.036381510793160265,-0.0023965123056526195,-0.020953989646945163,-0.0232142502594071
EX_3mb_e_m,-0.0013496708267188443,-0.0012198372987533876,-0.0012982606709730762,-0.00620826613546364,-0.0018448828688450649,-0.009977933869728955,-0.0034025856699520783,-0.01572209830115033,-0.010023595388531524
EX_4abz_e_m,-1.658758694246718e-07,1.527888162175035e-06,1.1826499697120428e-05,-7.974178531361372e-07,4.97228626613884e-06,-9.861486359641563e-05,8.710510595891525e-06,0.010446860112132205,-9.497764528110998e-06
EX_4hbz_e_m,7.265791765967415e-10,-3.76204937044755e-09,-1.4466997797215188e-08,-1.0421308899689568e-09,-1.8916665347146454e-05,-1.3216047829450035e-09,-2.3672165622255763e-07,-3.53810989449781e-08,-3.6037512920216147e-10
EX_ala__L_e_m,-0.06876000247143736,-0.06875768818014763,-0.06875676378786061,0.23003948354385556,0.09064954842419323,-0.0687600489323209,-0.06875844027111987,-0.06874495040032533,0.06977647621702693
EX_4hthr_e_m,-0.028510124040898522,-0.020706248589247127,0.004492660780211176,-0.02598523840128597,-3.945002446997024e-06,,-2.066642982829004e-06,-6.137695532332218e-07,2.6352030528291045e-10
EX_cl_e_m,-0.0005028700758868886,-0.0005167097364862516,-0.00053084387980769,-0.000710130622632624,-0.000652011371357892,-0.0006160121585132527,-0.00010029336403609242,-0.00046080869512318633,-0.0004233776196208828
EX_LalaDgluMdapDala_e_m,-0.0343800000920551,-0.034379429640973666,-0.03437836168409852,-0.027361143667522438,-0.020951254665676464,-0.02052963338107885,-0.02014972231323289,-0.024729180038957473,-0.019339625312697114
EX_5dglcn_e_m,0.03507497062350696,0.03438072436468126,0.03437880907936419,-0.03437999759773774,-0.034363301861501,0.03438000171438244,-0.0343782705385596,-0.004831657715813842,0.034379992929011616
EX_arab__L_e_m,0.16129012297528594,0.10946487453624155,0.15693936314817933,0.1651628890090661,0.11253098015939547,0.1706593936316842,0.16027457426323227,0.10400652228229784,0.10557101082333437
EX_abt__L_e_m,-0.034380000212129336,-0.03437985185486274,-0.03437951229673632,-0.034379999689069185,-0.0343784175841169,-0.034379999367266864,-0.03438033118037878,-0.034379992793093686,-0.03437997320965844
EX_acald_e_m,3.826798698930487,2.9896480477300487,2.808933773901943,2.6992410189609464,2.740703236249794,2.329496810804203,3.8806774868404723,2.214862196674579,2.469866175963619
EX_ac_e_m,-1.4460000000190254,-1.443000082468103,-1.454000173515877,-0.7400000000558314,-1.1840003473519474,-0.7400000005504112,-1.9080001224602157,-1.8420002639862145,-1.9190000000618874
EX_chol_e_m,-0.034380004627948685,-0.03437982101045089,-0.03437934841290756,-0.03437999992579629,-0.034378980712721025,0.03438643688760212,-0.034377840092271524,-0.034378694118740345,-0.03437999974955273
EX_pi_e_m,0.6515709390786256,0.5293883374527492,0.5985441538053828,0.7164729450478804,0.542829543867494,0.5063411646156466,0.778566288616229,0.5323615808492919,0.49964507611628506
EX_ribflv_e_m,-1.8782739960447612e-05,-1.483257679137086e-05,-1.5883470361005577e-05,-2.1848969733002938e-05,-1.3602514789529352e-05,-8.391316483859137e-06,-3.492945551287515e-06,-9.214201975266509e-06,-9.197593909764742e-06
EX_actn__R_e_m,-2.4414514832243265e-09,-2.5631085824499054e-06,-1.0224576315964458e-05,-4.425889638422976e-09,-5.349359444245788e-06,-3.95614851144719e-08,-0.03437906956685581,-5.913692304458736e-06,-0.0018697456242743153
EX_nh4_e_m,0.4789773962816005,1.2054061894544885,1.160619835079656,0.44830196861851157,0.7664180457580626,1.0477129424668001,0.3490220173755206,0.9841259779879074,0.6790698541428974
EX_mal__L_e_m,-0.03438000386978337,-0.03437999558514755,-0.03437942308477428,-0.03437999989674543,-0.034380014867924386,-0.025174249786470412,-0.03202212512521032,-0.024605338426018437,-0.031277999365785014
EX_alaala_e_m,-0.034379997723324715,-0.03437958243483373,-0.03437840826377538,-0.03437999889400843,-0.034058403945292574,-0.026129010574948874,-0.03437921217320148,-0.0343779662487298,-0.03431820760915605
EX_ala__D_e_m,-0.034380002110983646,-0.0343784231838477,-0.03437350441448519,0.659031258481199,0.5614760871852094,0.16559220331844982,0.31554839862631723,-0.010585657511470788,0.5759555141476173
EX_gln__L_e_m,-0.03356173022188724,-0.04261045595578221,-0.05437581009038433,-0.06875999925310466,-0.068756302418532,-0.04705238308689196,-0.009060025349981259,-0.06872424577486068,-0.05934441811840182
EX_thr__L_e_m,-0.02320524969761505,-0.024693384266589048,-0.025350540984589675,-0.03266835859752534,-0.02445905577844677,-0.05210238856362385,-0.027600165443960645,-0.030656935101470377,-0.06053431193310995
EX_arg__L_e_m,-0.0284885941752522,-0.06875984980879508,-0.030079704049852593,-0.06875999921428744,-0.0687571993138799,-0.06876004792379592,-0.048005894858809586,-0.06875652017360948,-0.06875996730422003
EX_amp_e_m,-0.034379999980127286,-0.03437967804050583,-0.034379522258636684,-0.03437999967032608,-0.034378487541522874,-0.034379997803502906,-0.03437960741535705,-0.03438068819554686,-0.034379995628891
EX_cgly_e_m,-0.007419527475660016,0.017648200916670593,-0.007199438790057074,0.08549324929457382,0.003583698883695132,-0.008601007804286619,-0.03416069912821221,-0.005447999317263671,0.015881461749681233
EX_malt_e_m,0.3543085205651513,0.8155777543575926,0.7788105022461129,0.7266183927755411,1.2115858588050283,0.8634111435091849,0.23223614007500132,0.8918730443293512,0.8408523085671924
EX_malttr_e_m,0.5761367298500256,0.7980984467542612,0.39459187832640175,1.3749896338509187,2.0890038511860998,0.9716681669210813,0.8678513231841208,1.9478713898225501,1.4414581359869376
EX_starch1200_e_m,-0.0011367670726221979,-0.0015026465837384955,-0.0007761294817917818,-0.0025967772041442802,-0.0036817714949021734,-0.002058826615282111,-0.0014410050325638483,-0.003179556798501515,-0.0025674449996099906
EX_arab__D_e_m,-0.03438000080514498,-0.03437896590250617,-0.03437911078912264,-0.03437999974228506,-0.0343774662510964,0.011590238591425696,-0.03436462489537808,-0.02569884033881258,0.034380042153634494
