,TRE3326A10-45241226,TRE3326A11-45241228,TRE3326A12-45238228,TRE3326A13-45249221,TRE3326A14-45252219,TRE3326A15-45241232,TRE3326A16-45245241,TRE3326A17-45241234,TRE3326A18-45238232
EX_12ppd__R_e_m,2.1175636248682353e-09,-5.1371631941623866e-08,1.1708021746665786e-10,-7.599508167356401e-09,3.430797337346275e-10,2.0672625606116876e-09,-0.007989500466489987,7.687336509990501e-07,1.7013017165835788e-09
EX_12ppd__S_e_m,1.969274381022464,1.6236404445210015,2.3920580774530222,1.3115042735259659,1.2124498110446194,1.5359333903357029,0.7059491797462158,0.5066468968696896,0.6952159206767853
EX_glc__D_e_m,1.0900860064703748,0.757238445277868,0.31367586101792355,1.6965851746534133,0.6234612605831824,-0.03437999978120132,0.6083023462526671,0.4710975329127103,-0.034379999148976825
EX_h2o_e_m,-1.6913211636668155,-1.3091968237121812,-2.5632320844166543,-1.8496830652272447,0.05048456269565804,8.942527575973955,4.385105912142674,3.3897507874703283,11.265185246117245
EX_26dap__M_e_m,-0.034380000101672775,-0.03437999952885749,-0.03437999997499878,-0.024611141292590084,-0.03437999997525787,-0.034379999271902835,-0.03438005223615823,-0.034379369431845,-0.03437999991975696
EX_h_e_m,2.370219104477981,5.164127449979308,6.568602500117117,19.866501634224765,22.528650368510746,8.180804872995184,5.193741408233517,10.556596089749679,11.393747161289163
EX_2obut_e_m,0.0001437998590859774,0.034801657358393724,0.03587911196496928,3.040612158410622e-05,0.0003005535831844901,0.00027551235155162944,7.308251054846063e-05,3.192910532681824e-05,0.01763136374120658
EX_2pglyc_e_m,-0.03437999984620379,-0.034379992425979215,-0.03437999985053841,-0.034379999861099776,-0.03437999998710477,-0.03438000029677609,-0.034379836104172334,-0.034378729398516196,-0.03437998581321023
EX_34dhbz_e_m,1.7178730921945836e-10,1.0822787434383463e-11,2.6981375769558464e-10,3.2303027455453455e-10,5.998887228635535e-11,,-3.050472321960131e-10,0.03235904690111936,8.275386889707216e-10
EX_leu__L_e_m,-0.06876000037543321,-0.06875999887368076,-0.06875999990899266,-0.06876000350892048,-0.06875999995042713,-0.06876000019274206,-0.06876023919106815,-0.06875950370554007,-0.06875999699871765
EX_3mb_e_m,-0.03437999981844966,-0.012397894928713012,-0.028600316533458278,-0.03437999872924121,-0.034379999988312024,-0.034379999607514346,-0.031403052001868756,-0.03437964468820117,-0.02494336523964947
EX_4abz_e_m,-4.26635672710661e-05,-7.467838898417779e-05,-8.47656545227006e-05,-2.9611805687053154e-05,-4.31963335164789e-05,-0.00010095942131018617,-4.300499518034944e-05,-8.146820368179518e-05,-0.00015094767545567294
EX_4hbz_e_m,-1.568031268512558e-05,-1.4575000158627909e-05,-1.6886968706558156e-05,-0.0343799996018402,-0.034379999993768826,-9.844974911472848e-07,-1.0531631309010987e-06,-3.659199958634425e-06,-2.3794544948804934e-06
EX_ala__L_e_m,-0.06876000093215431,-0.06875998475322535,-0.06876000001222118,-0.0687599987706802,-0.06875999997223863,-0.0687599998439284,-0.06875997708031581,-0.06875909090967568,-0.06875999905632933
EX_4hthr_e_m,-0.03437999986904394,-0.03437999984401341,-0.03438000000023744,-0.03438000033643729,-0.034379999986944076,,-0.034380001229055226,-0.03437972140130183,-0.03437999909746053
EX_cl_e_m,-0.003634305499982126,-0.0036200624912007522,-0.0036863764070604213,-0.003772922095618329,-0.0037102215279162186,-0.003266035512487222,-0.0032398341462385825,-0.0032315947898096157,-0.0031266350336314357
EX_LalaDgluMdapDala_e_m,-0.03438000069211717,-0.03438000066909026,-0.03438000004049281,-0.0343799873922529,-0.03438000007542452,-0.034379999674805026,-0.0343799944169723,-0.034380103382432026,-0.034379997686836423
EX_5dglcn_e_m,-0.03438000037812161,-0.03437999776925449,-0.034379999891500646,-0.03437999906654682,-0.034379999994807675,-0.03437999983727474,-0.034380003320066965,-0.034379570623843614,-0.034379999500148084
EX_arab__L_e_m,-0.034379999915966464,-0.03438000017266037,-0.03437999980319975,-0.03437999917867182,-0.0343799999094676,-0.03437999966293123,-0.034380588815246416,-0.03437841224688267,-0.03438000172152151
EX_abt__L_e_m,-0.03437999983824369,-0.03437999973051492,-0.03437999985023754,-0.03437999953265436,0.03965757721542651,-0.03437999973511653,-0.03438000631069249,-0.03437910865647176,-0.034379998933975364
EX_acald_e_m,39.19303999121968,34.6513928186442,31.20903862369557,28.75283045955889,25.409705490194238,24.064352732698367,37.91284947721448,20.755867516396233,23.68128748957884
EX_ac_e_m,-1.446000000047429,-1.4430000000028218,-1.4540000000430966,-0.7400000001291391,-1.1840000000058442,-0.7400000002451709,-1.9080000000423385,-1.8420001785750495,-1.9190000002295018
EX_chol_e_m,0.03465039186182851,0.034585047309949934,0.008239939003238434,0.03383598530302394,0.00012522799376416305,0.03441221835667939,0.034413107949522015,-0.023795623980362578,0.00354341870794745
EX_pi_e_m,0.3265961202640057,-0.0341077823326307,0.10828754256195772,0.38338792465047944,0.2549882877288548,0.2616400992839574,0.4922239352192344,-0.121557691517998,0.32277163079453197
EX_ribflv_e_m,-6.088967735341562e-05,-8.194342990673732e-05,-7.717300296280536e-05,-0.0001049573745188647,-8.635040396963248e-05,-6.880859357355448e-05,-8.417804629958487e-05,-8.006585285985316e-05,-5.838793581557936e-05
EX_actn__R_e_m,-2.168413895853163e-09,-8.541283531497904e-11,-1.5233647248393242e-09,-3.3876212423799182e-09,-5.709865259773237e-11,-4.068255662673461e-09,-1.6858319941417036e-09,-2.553033726233944e-06,-0.03437999672628702
EX_nh4_e_m,-2.657519223067573,-2.8099800473494523,-3.437999999857459,-2.4956238381755464,-2.7697479328132673,-1.8377725015465254,-3.3753876173719632,-2.120557007826892,-3.4379999975012345
EX_mal__L_e_m,-0.03438000010288814,-0.03437999972460142,-0.03437999999684682,-0.03438000043018751,-0.03437999999494342,-0.03437999970968043,-0.034379999101740874,-0.03437981926595698,-0.03437999976771703
EX_alaala_e_m,-0.03438000017938426,-0.034380005304611945,-0.034380000109059436,-0.03438000052720128,-0.03437999995184902,-0.03437999986676399,-0.03438000576858144,-0.034379585323696546,-0.0343799995024847
