,TRE3326A10-45241226,TRE3326A11-45241228,TRE3326A12-45238228,TRE3326A13-45249221,TRE3326A14-45252219,TRE3326A15-45241232,TRE3326A16-45245241,TRE3326A17-45241234,TRE3326A18-45238232
EX_12ppd__R_e_m,36.63990424405952,2.2470568607115786,42.28716973198255,16.520859819316176,1.01931098949563e-12,4.038683083679746e-11,1.3039453125210883,1.0049574724194306e-11,8.145709686725178e-10
EX_12ppd__S_e_m,9.315894166013532,0.0130199635501214,12.939479478558894,4.591381822123877,4.04504044222542e-12,-0.034379999734373945,6.374819741913834,7.899000437962327e-05,0.39534562091522396
EX_glc__D_e_m,0.00499004072603082,-0.03437999999111552,-0.007885704924490256,0.0325610969594341,-0.034379999992227926,-0.034379999980663975,0.07026597266140211,-0.034379999976004216,-0.03438000002436132
EX_h2o_e_m,-3.191061533443021,-2.847788226950812,-3.237523243249912,-1.835296400838887,6.480999852063299,4.663834069686543,2.6683105072789406,2.121429047819885,7.827829675143348
EX_26dap__M_e_m,-0.029663491334869358,-0.016794612053459758,-0.030022564562020442,-0.030591281467792282,-0.034379999994281346,-0.034379999974460784,-0.03435724822861447,-0.034379999979337085,-0.03438000004100999
EX_h_e_m,44.27159387865276,-3.437999999999343,47.48957980481956,144.57318530686592,28.624596964364763,20.73203054003138,65.31031184177368,25.57101988086656,47.64120678128331
EX_2obut_e_m,0.0690347567577967,0.03489541486508819,0.10433776768805081,0.08712201730458786,4.754071919190264e-06,0.03443426353628657,0.0588883422220668,9.9042056167377e-12,0.06428202517947569
EX_2pglyc_e_m,-0.03221480066831831,-3.2049838930379955e-10,-0.032594731912820286,-0.03250428683426192,-0.034379999998198525,-0.00034939897718037964,-0.03437492099032012,-0.00022866637442114771,-0.03438000004157889
EX_34dhbz_e_m,0.05210993050048225,9.915367107326294e-13,0.0484200368583629,0.05158251394811661,2.0955002171346892e-13,,0.00910551792071453,5.881893343521191e-12,0.023897699808380368
EX_leu__L_e_m,-0.05397581652953114,-0.06876000000885672,-0.04938314722386089,-0.04469716855548961,-0.06875999999964705,-0.06875999999972483,-0.06875641099945523,-0.06876000000006756,-0.06876000004030221
EX_3mb_e_m,-0.02899044596162772,-0.034380000008842296,-0.026985526272728738,-0.025567085019116753,-0.03437999999929683,-0.034379999999349355,-0.021726932314927398,-0.034379999999544775,-0.03438000001087661
EX_4abz_e_m,0.05572825077855974,-8.734876370482109e-06,0.2818851544813268,0.056874063957216406,-5.262101551108599e-12,-5.522260108018896e-05,-2.975822849056315e-05,-4.274166274864445e-05,-0.00018258741306017935
EX_4hbz_e_m,-8.235271902375632e-06,-5.308373022464458e-12,-1.604412764221416e-11,-0.025014399531845196,-1.165594549084504e-12,-5.4978150236806486e-12,-0.016957548036835024,-3.4008269058936796e-13,-1.3521940601243806e-11
EX_ala__L_e_m,-0.05920197063627099,-0.06876000000827573,-0.06108052179977261,-0.06066243152603508,-0.06875999999930969,-0.0687600000002454,-0.06872824605746375,-0.06875999999940087,-0.06876000004019282
EX_4hthr_e_m,-0.030183181459159547,-0.03438000000867162,-0.031160956437078807,-0.031366354440821184,-0.034379999999427355,,-0.034373200759512265,-0.034379999999317214,-0.034380000040071024
EX_cl_e_m,-0.003284593291327541,-0.0033792298152026234,-0.003358247195102344,-0.0034278158684097003,-0.003432953009712678,-0.0032314224136412496,-0.003368653206260247,-0.003345816452515251,-0.0033131426877998633
EX_LalaDgluMdapDala_e_m,-0.028958870228750357,-0.03438000000661059,-0.02926472942033828,-0.029880060603237755,-0.03437999999799113,-0.03437999999885996,-0.034377051607304934,-0.03437999996856683,-0.0343800000415547
EX_5dglcn_e_m,-0.02944025149896623,-0.034380000006331804,-0.029286951797222294,-0.029341520266713772,-1.6713530896325656e-11,-0.0343799999774464,-0.03086848991158142,-0.034379999866849996,-0.03438000000945833
EX_arab__L_e_m,-0.02157980009101787,-0.03437999991751653,-0.025271212500163814,-0.02273020513055243,-0.024135440790250838,-0.03437999996148543,-0.02662406963003583,-1.3541022374683835e-11,-0.03437999997293738
EX_abt__L_e_m,-0.021643784231291097,1.7591095856761993e-11,-0.02247795510156335,-0.023311640729428706,0.009171487579142329,-0.034379999897003154,-0.02672154301034957,1.7322749521603966e-11,-0.03437999995772976
EX_acald_e_m,247.76840330816987,-0.034380000005353135,266.74822271006883,225.7301466084735,-0.03437999999011354,-0.03437999991858303,147.40990687895055,-0.03437999999589581,28.84041975691051
EX_ac_e_m,-1.454111776596813,-1.457000000007466,-1.4578258720262212,-0.8397009145111454,-1.1840000000012234,-1.1839999999983655,-1.9199528246220954,-1.9339999999979625,-1.9549999999840828
EX_chol_e_m,0.011952402279571145,7.01542593443718e-11,-0.007394385005912568,-0.0014537488583783974,3.638049971115627e-12,1.3799255341145233e-10,0.0460806704917621,3.955924149431252e-11,0.03512702201386487
EX_pi_e_m,-1.3711463062808154,-0.2543215701969077,-0.8089309024114218,-1.3024024044882427,-0.23996330003623192,0.0031660940157067123,0.007426218480955371,-0.29488891450189614,0.07879666415576458
EX_ribflv_e_m,-7.371303128789352e-05,-4.7344381650444123e-05,-6.0316587139450655e-05,-5.318050720288368e-05,-4.0475167937330784e-05,-4.172794065888142e-05,-0.00011356079264885434,-3.003308022974577e-05,-6.326335329815787e-05
EX_actn__R_e_m,0.013060481831365767,-0.034380000006474766,-0.015575887685021342,0.0466301667844638,-8.369966040341688e-12,-0.034379999976426316,0.0002761705423559996,-0.03437999999691166,-0.034380000014437355
EX_nh4_e_m,-3.4243635879304644,-1.4160002466464319,-3.4236874308028025,-3.4265164178990575,-2.3243842008392823,-1.175813949218093,-3.4379475664198145,-2.0494726519936406,-3.438000000039123
EX_mal__L_e_m,-0.031697918398869346,-0.03438000000892041,-0.03243240277221683,-0.031683022649127535,-0.034379999999680375,-0.034379999996846926,-0.03295363960115043,-5.3691330527417625e-11,-0.03438000003182525
EX_alaala_e_m,-0.030397861776638432,-0.03438000000859984,-0.03240865538602423,-0.031206192021170705,-0.03437999999937333,-0.03438000000139928,-0.03437580740650029,-0.03437999999939464,-0.03438000004110011
EX_ala__D_e_m,-0.021749376626335915,-0.03438000000800746,-0.024951701594982945,-0.022549403949339353,-0.03437999999901634,-0.03437999999968428,-0.03436498844770042,-0.03437999999885469,-0.034380000040048396
EX_gln__L_e_m,-0.06872503035411986,-0.06876000000920608,-0.06859734474009828,-0.06851414000876785,-0.06875999999960751,-0.06876000000233395,-0.06874117326435691,-0.06876000000032693,-0.06876000004161727
EX_thr__L_e_m,-0.06867922675463956,-0.06876000000876581,-0.06863787462294431,-0.06723063566752298,-0.06875999999967877,-0.06876000000116639,-0.06873662098519825,-0.06875999999950623,-0.06876000004039431
EX_arg__L_e_m,-0.06856396004125972,-0.06876000000931543,-0.0685764779392564,-0.06832997784151547,-0.06875999999991407,-0.06876000000298503,-0.06875801539895962,-0.06876000000047927,-0.06876000004182568
EX_amp_e_m,-0.032359760840646644,-0.03438000000847537,-0.032201642858069354,-0.03245508726909213,-0.034379999999093996,-0.0343799999918515,-0.034382716264742354,-0.008137793251993885,-0.03438000003990597
EX_cgly_e_m,-0.033397617107982905,-0.034380000009071855,-0.03363302765428722,-0.03305074250011814,-0.0343799999995956,-0.03438000000176248,-0.03436805410971366,-0.034379999999992875,-0.03438000004176273
EX_malt_e_m,-0.004899553430139925,-0.034379999976765545,-0.00951342654146714,-0.0010735653813467305,-0.034379999956232705,-0.034379999989576415,0.04078732047534395,-0.03437999996298116,-0.03438000002435816
EX_malttr_e_m,-0.005372070901097814,0.10685148136508046,-0.008575437919295048,-0.00797189923360797,-0.03437999998933957,-0.034379999986215694,0.05970450417240425,-0.03437999997398451,-0.03438000002433346
EX_starch1200_e_m,-0.03430417280793258,-0.00035617160552641315,-0.03405639017891359,-0.03421822611277871,-1.0996444793835699e-12,-0.006481730437647781,-0.029183690222808402,-0.008694142395102005,-0.016193166666148465
